training_site,target_site,r2_sklearn,r2_pearson,training_IGBP,training_koppen,target_IGBP,target_koppen
US-xML,US-xNQ,-110.56,0.1,DBF,Cold,OSH,Arid
US-xML,US-xNW,-1.14,0.37,DBF,Cold,ENF,Cold
US-xML,US-xRM,0.32,0.46,DBF,Cold,ENF,Cold
US-xML,US-xRN,0.39,0.4,DBF,Cold,DBF,Temperate
US-xML,US-xSB,-2.64,0.12,DBF,Cold,ENF,Temperate
US-xML,US-xSC,0.49,0.55,DBF,Cold,DBF,Cold
US-xML,US-xSE,0.03,0.17,DBF,Cold,DBF,Temperate
US-xML,US-xSJ,-4.48,0.09,DBF,Cold,SAV,Temperate
US-xML,US-xSL,-10.73,0.5,DBF,Cold,CRO,Arid
US-xML,US-xSR,-59.36,0.15,DBF,Cold,OSH,Arid
US-xML,US-xST,0.8,0.81,DBF,Cold,DBF,Cold
US-xML,US-xTA,0.21,0.27,DBF,Cold,ENF,Temperate
US-xML,US-xTL,0.37,0.46,DBF,Cold,WET,Cold
US-xML,US-xTR,0.53,0.54,DBF,Cold,DBF,Cold
US-xML,US-xUK,0.57,0.58,DBF,Cold,DBF,Cold
US-xML,US-xUN,0.77,0.83,DBF,Cold,MF,Cold
US-xML,US-xWD,-0.09,0.61,DBF,Cold,GRA,Cold
US-xML,US-xWR,0.22,0.52,DBF,Cold,ENF,Cold
US-xML,US-xYE,0.26,0.42,DBF,Cold,ENF,Cold
US-xNG,US-xAB,-0.36,0.58,GRA,Cold,ENF,Temperate
US-xNG,US-xAE,-4.08,0.55,GRA,Cold,GRA,Temperate
US-xNG,US-xBL,0.53,0.63,GRA,Cold,DBF,Cold
US-xNG,US-xBN,-0.88,0.25,GRA,Cold,ENF,Cold
US-xNG,US-xBR,0.34,0.7,GRA,Cold,DBF,Cold
US-xNG,US-xCL,-0.1,0.53,GRA,Cold,GRA,Temperate
US-xNG,US-xCP,-6.21,0.43,GRA,Cold,GRA,Arid
US-xNG,US-xDC,0.71,0.8,GRA,Cold,GRA,Cold
US-xNG,US-xDJ,-0.48,0.69,GRA,Cold,ENF,Cold
US-xNG,US-xDL,0.46,0.49,GRA,Cold,MF,Temperate
US-xNG,US-xDS,-2.24,0.14,GRA,Cold,CVM,Temperate
US-xNG,US-xGR,0.18,0.67,GRA,Cold,DBF,Temperate
US-xNG,US-xHA,-13.53,0.0,GRA,Cold,DBF,Cold
US-xNG,US-xHE,-0.45,0.25,GRA,Cold,OSH,Cold
US-xNG,US-xJE,0.02,0.24,GRA,Cold,ENF,Temperate
US-xNG,US-xJR,-566.1,0.0,GRA,Cold,OSH,Arid
US-xNG,US-xKA,-0.15,0.52,GRA,Cold,GRA,Cold
US-xNG,US-xKZ,0.68,0.7,GRA,Cold,GRA,Cold
US-xNG,US-xMB,-50.57,0.32,GRA,Cold,OSH,Arid
US-xNG,US-xML,0.49,0.71,GRA,Cold,DBF,Cold
US-xNG,US-xNG,0.91,0.91,GRA,Cold,GRA,Cold
US-xNG,US-xNQ,-20.79,0.42,GRA,Cold,OSH,Arid
US-xNG,US-xNW,-0.58,0.24,GRA,Cold,ENF,Cold
US-xNG,US-xRM,-0.03,0.65,GRA,Cold,ENF,Cold
US-xNG,US-xRN,-0.2,0.28,GRA,Cold,DBF,Temperate
US-xNG,US-xSB,-0.37,0.13,GRA,Cold,ENF,Temperate
US-xNG,US-xSC,0.58,0.65,GRA,Cold,DBF,Cold
US-xNG,US-xSE,0.55,0.58,GRA,Cold,DBF,Temperate
US-xNG,US-xSJ,-0.11,0.01,GRA,Cold,SAV,Temperate
US-xNG,US-xSL,-8.1,0.57,GRA,Cold,CRO,Arid
US-xNG,US-xSR,-5.97,0.29,GRA,Cold,OSH,Arid
US-xNG,US-xST,0.78,0.92,GRA,Cold,DBF,Cold
US-xNG,US-xTA,0.24,0.41,GRA,Cold,ENF,Temperate
US-xNG,US-xTL,-3.0,0.49,GRA,Cold,WET,Cold
US-xNG,US-xTR,0.45,0.71,GRA,Cold,DBF,Cold
US-xNG,US-xUK,0.69,0.81,GRA,Cold,DBF,Cold
US-xNG,US-xUN,0.55,0.74,GRA,Cold,MF,Cold
US-xNG,US-xWD,0.58,0.63,GRA,Cold,GRA,Cold
