training_site,target_site,r2_sklearn,r2_pearson,training_IGBP,training_koppen,target_IGBP,target_koppen
US-xBR,US-xSJ,-24.36,0.17,DBF,Cold,SAV,Temperate
US-xBR,US-xSL,-86.36,0.59,DBF,Cold,CRO,Arid
US-xBR,US-xSR,-242.05,0.1,DBF,Cold,OSH,Arid
US-xBR,US-xST,0.8,0.89,DBF,Cold,DBF,Cold
US-xBR,US-xTA,-0.19,0.53,DBF,Cold,ENF,Temperate
US-xBR,US-xTL,-0.44,0.65,DBF,Cold,WET,Cold
US-xBR,US-xTR,0.65,0.72,DBF,Cold,DBF,Cold
US-xBR,US-xUK,0.21,0.76,DBF,Cold,DBF,Cold
US-xBR,US-xUN,0.77,0.91,DBF,Cold,MF,Cold
US-xBR,US-xWD,-1.68,0.59,DBF,Cold,GRA,Cold
US-xBR,US-xWR,0.54,0.61,DBF,Cold,ENF,Cold
US-xBR,US-xYE,0.19,0.54,DBF,Cold,ENF,Cold
US-xCL,US-xAB,-0.89,0.34,GRA,Temperate,ENF,Temperate
US-xCL,US-xAE,-1.3,0.08,GRA,Temperate,GRA,Temperate
US-xCL,US-xBL,0.16,0.54,GRA,Temperate,DBF,Cold
US-xCL,US-xBN,-0.4,0.16,GRA,Temperate,ENF,Cold
US-xCL,US-xBR,-0.04,0.27,GRA,Temperate,DBF,Cold
US-xCL,US-xCL,0.86,0.86,GRA,Temperate,GRA,Temperate
US-xCL,US-xCP,-2.66,0.17,GRA,Temperate,GRA,Arid
US-xCL,US-xDC,0.35,0.64,GRA,Temperate,GRA,Cold
US-xCL,US-xDJ,-0.33,0.0,GRA,Temperate,ENF,Cold
US-xCL,US-xDL,0.17,0.41,GRA,Temperate,MF,Temperate
US-xCL,US-xDS,-1.41,0.0,GRA,Temperate,CVM,Temperate
US-xCL,US-xGR,0.12,0.74,GRA,Temperate,DBF,Temperate
US-xCL,US-xHA,-23.6,0.06,GRA,Temperate,DBF,Cold
US-xCL,US-xHE,-3.96,0.02,GRA,Temperate,OSH,Cold
US-xCL,US-xJE,-0.35,0.23,GRA,Temperate,ENF,Temperate
US-xCL,US-xJR,-1181.25,0.0,GRA,Temperate,OSH,Arid
US-xCL,US-xKA,0.34,0.46,GRA,Temperate,GRA,Cold
US-xCL,US-xKZ,0.5,0.56,GRA,Temperate,GRA,Cold
US-xCL,US-xMB,-45.53,0.07,GRA,Temperate,OSH,Arid
US-xCL,US-xML,-0.21,0.38,GRA,Temperate,DBF,Cold
US-xCL,US-xNG,0.1,0.17,GRA,Temperate,GRA,Cold
US-xCL,US-xNQ,-37.7,0.01,GRA,Temperate,OSH,Arid
US-xCL,US-xNW,-2.65,0.02,GRA,Temperate,ENF,Cold
US-xCL,US-xRM,-0.76,0.12,GRA,Temperate,ENF,Cold
US-xCL,US-xRN,-0.39,0.08,GRA,Temperate,DBF,Temperate
US-xCL,US-xSB,-0.67,0.03,GRA,Temperate,ENF,Temperate
US-xCL,US-xSC,0.46,0.69,GRA,Temperate,DBF,Cold
US-xCL,US-xSE,0.47,0.6,GRA,Temperate,DBF,Temperate
US-xCL,US-xSJ,-1.07,0.26,GRA,Temperate,SAV,Temperate
US-xCL,US-xSL,-5.17,0.33,GRA,Temperate,CRO,Arid
US-xCL,US-xSR,-15.2,0.12,GRA,Temperate,OSH,Arid
US-xCL,US-xST,0.58,0.79,GRA,Temperate,DBF,Cold
US-xCL,US-xTA,-0.33,0.37,GRA,Temperate,ENF,Temperate
US-xCL,US-xTL,-19.75,0.06,GRA,Temperate,WET,Cold
US-xCL,US-xTR,0.15,0.53,GRA,Temperate,DBF,Cold
US-xCL,US-xUK,0.38,0.74,GRA,Temperate,DBF,Cold
US-xCL,US-xUN,-0.18,0.0,GRA,Temperate,MF,Cold
US-xCL,US-xWD,0.28,0.39,GRA,Temperate,GRA,Cold
US-xCL,US-xWR,-0.61,0.02,GRA,Temperate,ENF,Cold
US-xCL,US-xYE,-0.22,0.05,GRA,Temperate,ENF,Cold
US-xCP,US-xAB,-1.78,0.41,GRA,Arid,ENF,Temperate
US-xCP,US-xAE,0.31,0.61,GRA,Arid,GRA,Temperate
US-xCP,US-xBL,-0.78,0.45,GRA,Arid,DBF,Cold
US-xCP,US-xBN,-2.36,0.0,GRA,Arid,ENF,Cold
US-xCP,US-xBR,-0.38,0.59,GRA,Arid,DBF,Cold
US-xCP,US-xCL,0.19,0.53,GRA,Arid,GRA,Temperate
US-xCP,US-xCP,0.76,0.76,GRA,Arid,GRA,Arid
US-xCP,US-xDC,0.06,0.79,GRA,Arid,GRA,Cold
US-xCP,US-xDJ,-1.95,0.58,GRA,Arid,ENF,Cold
US-xCP,US-xDL,-0.6,0.33,GRA,Arid,MF,Temperate
US-xCP,US-xDS,-1.3,0.06,GRA,Arid,CVM,Temperate
US-xCP,US-xGR,-0.29,0.66,GRA,Arid,DBF,Temperate
US-xCP,US-xHA,-29.62,0.14,GRA,Arid,DBF,Cold
US-xCP,US-xHE,-3.51,0.04,GRA,Arid,OSH,Cold
US-xCP,US-xJE,-1.86,0.12,GRA,Arid,ENF,Temperate
US-xCP,US-xJR,-3.51,0.0,GRA,Arid,OSH,Arid
US-xCP,US-xKA,0.44,0.5,GRA,Arid,GRA,Cold
US-xCP,US-xKZ,0.12,0.51,GRA,Arid,GRA,Cold
US-xCP,US-xMB,-0.18,0.29,GRA,Arid,OSH,Arid
US-xCP,US-xML,-0.34,0.64,GRA,Arid,DBF,Cold
US-xCP,US-xNG,-0.14,0.65,GRA,Arid,GRA,Cold
US-xCP,US-xNQ,0.27,0.45,GRA,Arid,OSH,Arid
US-xCP,US-xNW,-3.49,0.05,GRA,Arid,ENF,Cold
US-xCP,US-xRM,-1.84,0.55,GRA,Arid,ENF,Cold
US-xCP,US-xRN,-1.46,0.08,GRA,Arid,DBF,Temperate
US-xCP,US-xSB,-2.89,0.13,GRA,Arid,ENF,Temperate
US-xCP,US-xSC,-0.3,0.61,GRA,Arid,DBF,Cold
US-xCP,US-xSE,-0.11,0.52,GRA,Arid,DBF,Temperate
US-xCP,US-xSJ,-1.41,0.28,GRA,Arid,SAV,Temperate
US-xCP,US-xSL,-2.45,0.6,GRA,Arid,CRO,Arid
US-xCP,US-xSR,-0.05,0.33,GRA,Arid,OSH,Arid
US-xCP,US-xST,0.24,0.85,GRA,Arid,DBF,Cold
US-xCP,US-xTA,-1.27,0.3,GRA,Arid,ENF,Temperate
US-xCP,US-xTL,-8.87,0.0,GRA,Arid,WET,Cold
US-xCP,US-xTR,-0.22,0.58,GRA,Arid,DBF,Cold
US-xCP,US-xUK,-0.22,0.68,GRA,Arid,DBF,Cold
US-xCP,US-xUN,-0.34,0.49,GRA,Arid,MF,Cold
US-xCP,US-xWD,-0.01,0.51,GRA,Arid,GRA,Cold
US-xCP,US-xWR,-2.13,0.02,GRA,Arid,ENF,Cold
US-xCP,US-xYE,-1.15,0.51,GRA,Arid,ENF,Cold
